Year,Round,Team1,Team2,Team1.Result,Team2.Result,Team1.1QTotal,Team1.2QTotal,Team1.3QTotal,Team1.4QTotal,Team2.1QTotal,Team2.2QTotal,Team2.3QTotal,Team2.4QTotal
2019,4,Port Adelaide Power,Richmond Tigers,L,W,25,20,27,20,17,27,30,25
2019,4,North Melbourne Kangaroos,Adelaide Crows,W,L,12,16,28,15,16,26,9,8
2019,4,West Coast Eagles,Freemantle Dockers,W,L,31,8,14,16,5,10,21,20
2019,4,Gold Coast Suns,Carlton Blues,W,L,19,9,10,21,9,25,15,8
2019,4,St Kilda Saints,Hawthorn Hawks,W,L,20,15,22,17,20,21,27,1
2019,5,Brisbane Lions,Collingwood Magpies,L,W,20,16,15,10,47,10,51,15
2019,5,North Melbourne Kangaroos,Essendon Bombers,L,W,12,13,11,22,22,39,28,27
2019,5,West Coast Eagles,Port Adelaide Power,L,W,7,7,19,20,23,40,21,11
2019,5,GWS Giants,Freemantle Dockers,L,W,24,27,22,9,28,27,14,37
2019,5,Melbourne Demons,St Kilda Saints,L,W,21,8,3,23,25,19,33,18
2019,5,Richmond Tigers,Sydney Swans,W,L,21,38,16,14,13,13,13,28
2019,5,Western Bulldogs,Carlton Blues,L,W,21,13,14,9,33,20,19,29
2019,5,Adelaide Crows,Gold Coast Suns,W,L,9,34,38,38,2,7,23,14
2019,5,Hawthorn Hawks,Geelong Cats,L,W,26,23,21,20,27,39,34,13
2019,6,Richmond Tigers,Melbourne Demons,W,L,19,15,17,34,25,1,9,7
2019,6,Essendon Bombers,Collingwood Magpies,L,W,6,27,21,15,29,19,15,10
2019,6,Port Adelaide Power,North Melbourne Kangaroos,W,L,32,17,20,19,15,6,21,30
2019,6,Gold Coast Suns,Brisbane Lions,L,W,20,18,7,17,17,27,32,35
2019,6,St Kilda Saints,Adelaide Crows,L,W,24,12,19,13,18,31,17,31
2019,6,Sydney Swans,GWS Giants,L,W,19,26,21,13,35,15,38,32
2019,6,Freemantle Dockers,Western Bulldogs,W,L,27,16,20,25,14,28,15,12
2019,6,Hawthorn Hawks,Carlton Blues,W,L,15,6,36,36,39,13,10,26
2019,6,Geelong Cats,West Coast Eagles,W,L,43,11,29,21,13,8,12,13
2019,7,Collingwood Magpies,Port Adelaide Power,W,L,48,12,23,25,3,33,7,26
2019,7,Melbourne Demons,Hawthorn Hawks,W,L,15,14,35,15,29,9,12,24
2019,7,GWS Giants,St Kilda Saints,W,L,50,8,26,30,13,21,16,20
2019,7,Brisbane Lions,Sydney Swans,W,L,36,14,31,22,8,40,18,15
2019,7,Western Bulldogs,Richmond Tigers,W,L,17,26,37,19,20,10,19,3
2019,7,West Coast Eagles,Gold Coast Suns,W,L,24,32,10,14,9,8,21,19
2019,7,Carlton Blues,North Melbourne Kangaroos,L,W,2,11,15,34,34,32,31,23
2019,7,Geelong Cats,Essendon Bombers,W,L,24,21,22,19,21,8,7,18
2019,7,Adelaide Crows,Freemantle Dockers,W,L,9,3,27,12,14,0,6,14
2019,8,Sydney Swans,Essendon Bombers,W,L,18,26,19,14,15,30,9,18
2019,8,Western Bulldogs,Brisbane Lions,W,L,19,27,32,14,28,16,13,19
2019,8,Carlton Blues,Collingwood Magpies,L,W,10,26,32,19,13,23,27,43
2019,8,Gold Coast Suns,Melbourne Demons,L,W,13,8,15,24,20,3,16,22
2019,8,St Kilda Saints,West Coast Eagles,L,W,13,16,15,26,21,15,38,14
2019,8,Port Adelaide Power,Adelaide Crows,L,W,2,18,10,38,13,28,27,20
2019,8,North Melbourne Kangaroos,Geelong Cats,L,W,11,21,30,18,18,33,39,14
2019,8,Hawthorn Hawks,GWS Giants,W,L,19,16,16,20,9,19,1,9
2019,8,Freemantle Dockers,Richmond Tigers,L,W,20,13,26,27,27,19,40,25
2019,9,West Coast Eagles,Melbourne Demons,W,L,20,14,14,37,22,16,22,9
2019,9,Collingwood Magpies,St Kilda Saints,W,L,19,19,32,42,9,24,32,6
2019,9,Brisbane Lions,Adelaide Crows,W,L,23,27,27,16,16,28,21,27
2019,9,Geelong Cats,Western Bulldogs,W,L,38,32,26,37,25,23,33,8
2019,9,North Melbourne Kangaroos,Sydney Swans,L,W,19,14,10,29,10,44,16,7
2019,9,Essendon Bombers,Freemantle Dockers,W,L,9,16,16,19,15,8,10,20
2019,9,Port Adelaide Power,Gold Coast Suns,W,L,19,20,24,26,28,15,7,1
2019,9,Richmond Tigers,Hawthorn Hawks,W,L,20,22,31,22,17,9,19,14
2019,9,GWS Giants,Carlton Blues,W,L,47,40,35,16,7,6,19,13
2019,10,Sydney Swans,Collingwood Magpies,L,W,19,12,31,11,10,30,14,26
2019,10,Hawthorn Hawks,Port Adelaide Power,W,L,25,13,21,21,0,15,22,12
2019,10,Western Bulldogs,North Melbourne Kangaroos,L,W,32,10,21,27,32,32,19,32
2019,10,Adelaide Crows,West Coast Eagles,L,W,14,36,14,9,21,1,32,31
2019,10,Gold Coast Suns,Geelong Cats,L,W,27,14,21,2,27,17,20,27
2019,10,Richmond Tigers,Essendon Bombers,W,L,8,23,28,14,3,10,9,28
2019,10,Melbourne Demons,GWS Giants,L,W,7,2,15,44,17,27,37,13
2019,10,St Kilda Saints,Carlton Blues,W,L,14,23,21,10,22,12,8,13
2019,10,Freemantle Dockers,Brisbane Lions,W,L,22,14,25,12,32,5,32,3
2019,11,North Melbourne Kangaroos,Richmond Tigers,W,L,25,18,36,20,20,19,7,16
2019,11,GWS Giants,Gold Coast Suns,W,L,26,15,26,59,21,1,9,12
2019,11,Collingwood Magpies,Freemantle Dockers,L,W,21,20,13,21,21,7,30,21
2019,11,Geelong Cats,Sydney Swans,W,L,31,13,26,15,21,17,10,15
2019,11,Brisbane Lions,Hawthorn Hawks,W,L,6,33,26,20,31,14,13,8
2019,11,Melbourne Demons,Adelaide Crows,L,W,39,19,16,14,24,9,25,32
2019,11,St Kilda Saints,Port Adelaide Power,L,W,22,16,14,17,31,44,36,28
2019,11,Essendon Bombers,Carlton Blues,W,L,15,19,19,21,14,2,16,1
2019,11,West Coast Eagles,Western Bulldogs,W,L,19,26,56,32,19,15,18,20
2019,12,Richmond Tigers,Geelong Cats,L,W,13,3,8,13,2,44,52,6
2019,12,Carlton Blues,Brisbane Lions,W,L,3,19,35,21,21,19,13,10
2019,12,Gold Coast Suns,North Melbourne Kangaroos,L,W,9,18,19,26,44,15,22,18
2019,12,Adelaide Crows,GWS Giants,W,L,17,14,12,39,8,14,25,14
2019,12,Sydney Swans,West Coast Eagles,W,L,25,35,31,25,20,19,11,21
2019,12,Collingwood Magpies,Melbourne Demons,W,L,23,21,30,24,8,15,16,18
2019,13,Adelaide Crows,Richmond Tigers,W,L,7,18,45,31,20,16,21,11
2019,13,Essendon Bombers,Hawthorn Hawks,W,L,14,29,34,19,15,25,14,23
2019,13,Gold Coast Suns,St Kilda Saints,L,W,23,13,21,19,2,15,33,30
2019,13,Freemantle Dockers,Port Adelaide Power,W,L,20,32,26,22,31,16,32,0
2019,13,Carlton Blues,Western Bulldogs,L,W,13,26,30,31,32,28,15,28
2019,13,North Melbourne Kangaroos,GWS Giants,L,W,18,27,9,14,20,25,27,19
2019,14,West Coast Eagles,Essendon Bombers,W,L,22,34,27,23,24,13,12,22
2019,14,Sydney Swans,Hawthorn Hawks,W,L,37,9,11,25,19,20,10,14
2019,14,Melbourne Demons,Freemantle Dockers,W,L,13,21,26,25,25,15,25,6
2019,14,St Kilda Saints,Brisbane Lions,L,W,21,9,7,22,30,20,57,8
2019,14,Port Adelaide Power,Geelong Cats,W,L,22,19,10,16,8,14,20,14
2019,14,Western Bulldogs,Collingwood Magpies,L,W,27,10,16,20,25,7,32,18
2019,15,Essendon Bombers,GWS Giants,W,L,20,13,7,37,8,26,16,21
2019,15,Geelong Cats,Adelaide Crows,W,L,25,23,27,21,34,13,14,8
2019,15,Hawthorn Hawks,West Coast Eagles,L,W,21,3,31,16,23,21,6,27
2019,15,Sydney Swans,Gold Coast Suns,W,L,14,25,27,27,15,20,8,8
2019,15,Collingwood Magpies,North Melbourne Kangaroos,L,W,9,12,7,9,19,13,30,19
2019,15,Port Adelaide Power,Western Bulldogs,L,W,8,9,21,3,20,12,19,15
2019,15,St Kilda Saints,Richmond Tigers,L,W,18,24,9,19,12,26,20,45
2019,15,Brisbane Lions,Melbourne Demons,W,L,18,17,39,33,21,20,19,14
2019,15,Freemantle Dockers,Carlton Blues,L,W,32,7,17,19,3,26,15,35
2019,16,Hawthorn Hawks,Collingwood Magpies,W,L,11,15,7,34,24,10,9,20
2019,16,Essendon Bombers,Sydney Swans,W,L,15,14,18,29,8,16,26,16
2019,16,Gold Coast Suns,Richmond Tigers,L,W,13,6,25,14,56,47,20,27
2019,16,Adelaide Crows,Port Adelaide Power,L,W,19,16,7,2,19,19,39,24
2019,16,Western Bulldogs,Geelong Cats,W,L,10,13,14,34,23,9,15,8
2019,16,Freemantle Dockers,West Coast Eagles,L,W,8,5,13,5,17,50,24,31
2019,16,Carlton Blues,Melbourne Demons,L,W,16,18,32,34,28,25,43,9
2019,16,North Melbourne Kangaroos,St Kilda Saints,W,L,47,19,19,27,7,32,14,20
